fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;4;-2;2.993282;1.974591;10.455487
0;4;-2;2.907976;2.120811;11.940570
0;29;-2;-2.599758;2.705914;5.385329
0;42;-2;-4.096212;-1.234591;-0.764814
0;44;-2;-3.089292;-2.368061;9.688031
0;53;-2;-1.422343;-3.588295;2.880018
0;92;-2;6.030494;3.725436;10.582293
0;92;-2;5.963015;4.071052;13.595128
0;100;-2;4.697131;5.192614;12.329347
0;137;-2;-5.176347;5.185619;0.473760
0;190;-2;-2.651164;-6.927322;-3.308229
0;224;-2;6.658507;-3.438291;10.055736
0;246;-2;12.816495;8.464477;17.372700
0;247;-2;13.069378;7.776301;10.879855
0;256;-2;6.416514;12.992334;-8.759239
0;264;-2;-8.143081;12.486830;20.630369
0;264;-2;-8.132761;12.495993;18.752726
0;265;-2;-6.718042;12.934772;12.752603
0;265;-2;-6.713827;12.937119;12.599654
0;265;-2;-6.712929;12.938340;12.187413
0;265;-2;-6.727333;12.934107;10.717327
0;265;-2;-6.728875;12.935986;9.332240
0;265;-2;-6.310482;13.140147;9.309030
0;265;-2;-6.310833;13.139033;9.804910
0;265;-2;-6.315310;13.134268;11.163587
0;270;-2;-13.296707;8.132936;20.638943
0;270;-2;-13.304207;8.126706;18.761164
0;270;-2;-13.300502;8.134544;16.909954
0;270;-2;-11.122756;10.880743;15.025782
0;274;-2;-11.163660;10.848484;-10.716232
0;289;-2;-11.429100;-9.349988;7.934275
0;299;-2;-5.457381;-14.414370;-16.846548
0;313;-2;13.131401;-6.983723;9.786300
0;321;-2;14.814301;-3.248136;0.164222
0;334;-2;20.732765;12.148849;11.157252
0;341;-2;19.998816;13.061663;21.307575
0;362;-2;8.434522;21.900061;-21.628448
0;394;-2;-16.977753;16.409519;-21.638580
0;395;-2;-17.143845;16.577692;-21.955795
0;396;-2;-21.574083;10.791212;22.511612
0;408;-2;-23.547907;2.273940;-3.624054
0;431;-2;-18.900234;-15.521167;6.385132
0;442;-2;-12.847992;-19.865358;-14.170187
0;496;-2;23.461679;-5.263886;-5.685760
0;552;-2;32.667908;18.895355;11.646534
0;569;-2;32.298862;20.860159;28.010357
0;785;-2;-27.281891;26.444048;-40.989990
0;819;-2;-34.215591;16.450567;-1.471079
0;950;-2;-29.353130;-24.112360;4.212516
0;1190;-2;33.653961;-18.436214;8.764941
0;1327;-2;35.876297;23.125395;29.819750
0;1332;-2;37.087120;21.383265;11.817060
0;1425;-2;13.976612;40.353100;37.454948
0;1426;-2;12.001468;41.087471;36.300365
0;1622;-2;-31.207256;30.307514;-48.215313
0;1834;-2;-33.274429;-27.374649;3.262192
0;2133;-2;38.790462;-17.948776;7.548938
0;2163;-2;42.898094;-7.195435;-13.111730
0;2163;-2;41.338409;-13.436996;-13.384407
0;2165;-2;42.317360;-9.508315;-18.448265
1;5724;-3141593;84.223244;9.804083;11.395536
1;5725;-3141593;84.999382;9.817855;11.720340
1;5726;-3141593;85.714012;10.148494;12.614454
1;5727;-3141593;86.455238;10.329845;13.230435
1;5728;-3141593;87.233452;10.316618;14.705249
1;5729;-3141593;87.846466;11.177265;15.414392
1;5730;-3141593;88.677193;10.850935;15.666697
1;5731;-3141593;89.420403;11.001696;16.511271
1;5732;-3141593;90.166122;11.135644;17.258253
1;5733;-3141593;90.910561;11.277093;18.251289
1;5734;-3141593;91.645790;11.463200;18.893488
1;5735;-3141593;92.377731;11.671058;19.916588
1;5736;-3141593;93.101250;11.917163;20.360144
1;5736;-3141593;93.123604;11.806023;21.349287
1;5737;-3141593;93.837708;12.097865;21.347576
1;5738;-3141593;94.564507;12.332301;22.391996
1;5740;-3141593;96.065193;12.527821;23.788357
1;5741;-3141593;96.790771;12.761950;24.477970
1;5742;-3141593;97.536720;12.885342;25.398083
1;5743;-3141593;98.266808;13.097195;26.292158
1;5744;-3141593;99.014534;13.200671;26.580935
1;5745;-3141593;99.719604;13.558506;28.057678
1;5746;-3141593;100.491806;13.526487;28.495611
1;5747;-3141593;101.224892;13.717406;29.280886
1;5748;-3141593;101.952507;13.933194;29.609947
1;5749;-3141593;102.700806;14.043439;30.831366
1;5750;-3141593;103.450798;14.133927;31.270309
1;5751;-3141593;104.161736;14.462301;33.209782
1;5751;-3141593;104.191536;14.279187;31.968369
1;5752;-3141593;104.905952;14.577792;33.069641
1;5753;-3141593;105.645416;14.723959;33.265148
1;5754;-3141593;106.343369;15.119414;34.743149
1;5755;-3141593;107.096283;15.202135;36.067410
1;5756;-3141593;107.820839;15.432818;36.339302
1;5757;-3141593;108.576241;15.489247;36.695312
1;5758;-3141593;109.316856;15.641579;38.130436
1;5758;-3141593;109.305183;15.697365;37.221325
1;5759;-3141593;110.020164;15.995783;38.695652
1;5760;-3141593;110.769012;16.093885;39.504829
1;5761;-3141593;111.497406;16.310223;40.523365
1;5762;-3141593;112.222336;16.541697;41.148857
1;5763;-3141593;112.978165;16.597593;41.754055
1;5764;-3141593;113.705154;16.820890;42.711922
1;5766;-3141593;115.149673;17.317181;44.268646
1;5767;-3141593;115.892220;17.450960;45.114281
1;5768;-3141593;116.645416;17.520035;45.600735
1;5769;-3141593;117.374504;17.728596;46.293808
1;5770;-3141593;118.073410;18.113932;47.425961
1;5771;-3141593;118.830475;18.167133;48.473766
1;5772;-3141593;119.578079;18.271446;49.146500
1;5773;-3141593;120.275230;18.663921;49.919243
1;5774;-3141593;121.035080;18.698799;50.630451
1;5775;-3141593;121.722153;19.152370;51.710133
1;5775;-3141593;121.751503;18.979536;51.207123
1;5776;-3141593;122.491165;19.133894;52.203178
1;5777;-3141593;123.247490;19.194517;53.063431
1;5778;-3141593;123.944168;19.591812;53.606735
1;5778;-3141593;123.954185;19.537683;53.885937
1;5779;-3141593;124.688255;19.728300;55.026535
1;5780;-3141593;125.441177;19.799276;55.079994
1;5781;-3141593;126.144073;20.175730;55.775467
1;5782;-3141593;126.885963;20.346272;57.321232
1;5782;-3141593;126.913559;20.183094;56.770824
1;5783;-3141593;127.651093;20.379431;58.429131
1;5783;-3141593;127.666290;20.282419;57.462132
1;5784;-3141593;128.391388;20.539404;58.192852
1;5784;-3141593;128.415283;20.411636;58.965267
1;5785;-3141593;129.132828;20.707663;59.331116
1;5786;-3141593;129.851562;20.945322;60.373760
1;5787;-3141593;73.543152;41.967739;13.946987
1;5787;-3141593;71.493561;45.785351;50.179989
1;5788;-3141593;74.243896;42.282074;13.730205
1;5788;-3141593;72.245361;46.000626;50.196392
1;5789;-3141593;74.855568;42.749779;13.757679
1;5790;-3141593;75.596481;42.986156;13.982480
1;5790;-3141593;73.484421;46.892811;51.362656
1;5791;-3141593;76.192543;43.477161;14.003625
1;5791;-3141593;74.106262;47.329933;51.475246
1;5792;-3141593;76.911491;43.748459;14.209373
1;5792;-3141593;74.732712;47.756374;51.535488
1;5793;-3141593;75.413742;48.088287;52.213890
1;5793;-3141593;77.573730;44.117527;14.091703
1;5794;-3141593;76.001778;48.580151;52.372604
1;5794;-3141593;78.184219;44.575302;13.847801
1;5794;-3141593;78.247673;44.464592;14.054530
1;5795;-3141593;76.720512;48.843845;52.890484
1;5796;-3141593;79.390419;45.518559;14.274169
1;5797;-3141593;80.200340;45.624687;14.139354
1;5798;-3141593;80.948212;45.839943;14.184570
1;5798;-3141593;78.564690;50.175720;53.831841
1;5799;-3141593;81.636864;46.158577;14.145176
1;5799;-3141593;79.218658;50.550438;54.165672
1;5800;-3141593;79.785233;51.076691;54.385082
