fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1006632705;1;-1.351096;-1.189862;-8.313747;-0.403510;0.397263;0.059162;0.000000;2.017873;1.818560;0.064583;0.248076;-10.132307
-3141593;-1;-1073696513;-1;0.065831;0.245257;-10.143291;0.498549;0.220877;0.131005;0.000000;-0.003083;-0.010984;0.064583;0.248076;-10.132307
-3141593;-1;-1073737473;1;0.060455;0.247218;-10.076411;0.176179;-0.847405;-0.408999;0.000000;-0.004216;0.055896;0.064583;0.248076;-10.132307
-3141593;-1;-1073741569;1;0.074981;0.253136;-10.124221;-0.122174;0.251045;0.093798;0.000000;-0.011564;0.008086;0.064583;0.248076;-10.132307
-3141593;-1;-1073737473;-1;0.086409;0.158134;-10.160945;0.384703;0.093354;-0.100168;0.000000;-0.092552;-0.028638;0.064583;0.248076;-10.132307
-3141593;-1;-1073741569;1;0.095076;0.218423;-10.318816;-0.155065;-0.159459;-0.082916;0.000000;0.042533;-0.186509;0.064583;0.248076;-10.132307
-3141593;-1;-1073741569;-1;0.053113;0.179900;-10.123760;0.257971;-0.043399;0.079838;0.000000;-0.069134;0.008547;0.064583;0.248076;-10.132307
-3141593;-1;-1073737473;-1;0.045477;0.233126;-10.138000;0.382114;-0.488348;0.152941;0.000000;-0.024259;-0.005692;0.064583;0.248076;-10.132307
-3141593;-1;-1073741577;1;0.042045;0.273942;-10.069809;0.176453;0.153751;-0.208206;0.000000;0.034307;0.062498;0.064583;0.248076;-10.132307
-3141593;-1;-1073741569;1;0.147429;0.223450;-10.260608;0.053089;0.178602;0.017800;0.000001;-0.086429;-0.128301;0.064583;0.248076;-10.132307
-3141593;-1;-1006628617;1;0.565457;0.601204;-4.103231;-0.395036;0.560317;-0.838328;0.000000;-0.612841;6.029076;0.064583;0.248076;-10.132307
