fDetId;fSubdetId;fLabel[3];fV.fX;fV.fY;fV.fZ
0;1;-2;4.017292;0.394441;0.966056
0;7;-2;2.809051;2.311984;-8.076295
0;11;-2;2.253949;3.277228;-12.329124
0;15;-2;1.604721;3.196777;-10.346737
0;15;-2;1.540859;3.225482;-10.283007
0;15;-2;1.477357;3.253810;-12.023025
0;21;-2;-0.611845;3.600917;3.040596
0;29;-2;-2.852730;2.401116;2.967570
0;34;-2;-3.917042;1.405918;-1.979209
0;35;-2;-3.953083;1.340315;-13.719040
0;38;-2;-3.860420;-0.333313;-0.854191
0;40;-2;-4.092218;-1.234615;11.066323
0;45;-2;-3.462000;-1.788687;0.985410
0;46;-2;-3.436003;-1.839207;-2.325515
0;53;-2;-1.690021;-3.490268;6.761252
0;68;-2;2.644373;-2.660800;10.596075
0;68;-2;2.698103;-2.596031;10.910534
0;69;-2;2.858282;-2.377556;1.214287
0;71;-2;2.414305;-2.887105;-12.847267
0;81;-2;7.152412;0.677349;1.205134
0;121;-2;-1.360843;7.232282;5.507644
0;141;-2;-5.644431;4.516999;5.095442
0;150;-2;-7.091925;2.270086;-4.109192
0;150;-2;-7.097011;2.264574;-4.151692
0;169;-2;-6.689306;-3.599957;1.242842
0;174;-2;-6.264176;-3.643269;-4.963427
0;184;-2;-3.313262;-6.870434;12.158961
0;210;-2;2.919260;-6.759688;-0.136931
0;221;-2;5.375088;-4.771051;1.675366
0;242;-2;14.558848;2.343771;1.808771
0;264;-2;-8.185827;12.465924;20.628660
0;264;-2;-7.659148;12.723535;20.634424
0;264;-2;-8.196111;12.469121;16.875088
0;264;-2;-7.667083;12.727882;16.879648
0;265;-2;-4.712927;13.919523;9.311039
0;265;-2;-4.681027;13.928041;13.018688
0;270;-2;-12.981509;8.529924;20.649252
0;270;-2;-12.986693;8.523685;20.479839
0;270;-2;-12.981717;8.532909;18.754473
0;270;-2;-12.986151;8.530548;16.872419
0;270;-2;-12.751345;8.826297;16.872913
0;270;-2;-13.334014;8.092413;16.864237
0;270;-2;-12.971076;8.552709;15.019710
0;270;-2;-11.432375;10.490761;15.027251
0;270;-2;-11.077385;10.937677;15.150564
0;270;-2;-11.445950;10.473383;15.190806
0;270;-2;-11.446133;10.470275;16.871225
0;270;-2;-11.082237;10.928309;17.051003
0;270;-2;-11.443669;10.470135;18.764330
