fLabel;fIndex;fStatus;fSign;fV.fX;fV.fY;fV.fZ;fP.fX;fP.fY;fP.fZ;fBeta;fDcaXY;fDcaZ;fPVX;fPVY;fPVZ
-3141593;-1;-1073737473;-1;0.065573;0.272997;-7.373905;-0.060098;0.806342;-0.069680;0.000000;-0.003935;-0.006963;0.061649;0.272705;-7.366942
-3141593;-1;-1073737473;1;0.061709;0.277207;-7.383585;0.710230;-0.009553;0.308965;0.000000;0.004502;-0.016644;0.061649;0.272705;-7.366942
-3141593;-1;-1073696513;1;0.058962;0.273680;-7.354494;0.375407;1.034548;0.513671;0.000000;0.002859;0.012448;0.061649;0.272705;-7.366942
-3141593;-1;-1073737473;-1;0.061859;0.272593;-7.354120;0.166179;0.313545;-0.063632;0.000000;-0.000238;0.012821;0.061649;0.272705;-7.366942
-3141593;-1;-1073696513;-1;0.062774;0.272176;-7.367755;0.902854;1.921665;-0.785443;0.000000;-0.001244;-0.000813;0.061649;0.272705;-7.366942
-3141593;-1;-1073737473;1;0.058530;0.276624;-7.373273;-0.236382;-0.188142;0.255497;0.000000;-0.005009;-0.006331;0.061649;0.272705;-7.366942
-3141593;-1;-1073737481;-1;0.057073;0.268942;-7.414021;-0.552351;0.671777;0.870795;0.000000;0.005924;-0.047079;0.061649;0.272705;-7.366942
-3141593;-1;-1073737473;1;0.075776;0.279311;-7.376444;0.148024;-0.316542;0.039186;0.000000;0.015596;-0.009503;0.061649;0.272705;-7.366942
-3141593;-1;-1006587649;-1;0.555333;0.380742;-0.637044;-0.086437;0.394982;-0.127461;0.000000;-0.505368;6.729897;0.061649;0.272705;-7.366942
-3141593;-1;-1073741569;1;0.016075;0.223949;-7.387197;-0.165005;0.154236;-0.071087;0.000002;0.066739;-0.020255;0.061649;0.272705;-7.366942
